"KO-DMSO_Rep1"	"KO-DMSO_Rep2"	"KO-E20_Rep1"	"KO-E20_Rep2"	"WT-DMSO_Rep1"	"WT-DMSO_Rep2"	"WT-E20_Rep1"	"WT-E20_Rep2"
"ENSG00000012171.20"	7145.157	5578.444	4008.088	3745.92	17082.439	8463.13	13068.255	16709.31
"ENSG00000012174.12"	26	29	35.381	71	89	43	144	131.048
"ENSG00000012211.13"	1535.231	1155.181	1262.923	1234.543	3435.99	1743.987	2560.145	3461.551
"ENSG00000012223.13"	0	0	0	0	0	2	0	0
"ENSG00000012232.10"	1893.052	1732.099	1669.154	1851.831	4271.43	2214.039	2672.447	4068.112
"ENSG00000012504.15"	0	2	0	0	0	0	0	0
"ENSG00000012660.14"	262	223	429	793.999	456	265	1109	1019.159
"ENSG00000012779.12"	8	7	20	14	11	6	30	23
"ENSG00000012817.16"	0	0	0	0	0	0	0	0
"ENSG00000012822.16"	1957.003	1723	1302	1337.051	1733.258	918.722	1551.999	2016.012
"ENSG00000012963.15"	91	79	97.026	154	133	73	266.962	240
"ENSG00000012983.12"	8	17	19	42	44	20	80	84
"ENSG00000013016.16"	0	0	0	0	0	0	0	0
"ENSG00000013275.8"	3775.223	3062.725	2557	2767.208	5426.963	2827.39	3763.228	4949.578
"ENSG00000013288.9"	1481	1281.001	1364	1453	1568	939	1913.999	2193.695
"ENSG00000013293.6"	0	0	0	0	0	0	0	0
"ENSG00000013297.12"	0	0	0	1	0	1	1	1
"ENSG00000013306.16"	16205.5	12609.376	9666.961	9180.811	28003.302	13972.867	12814.781	17356.452
"ENSG00000013364.19"	6943.2	5365.072	3006.061	2872.293	2813.973	1446.675	2241.902	3090.251
"ENSG00000013374.17"	135.983	151.954	193.855	363.978	311.981	138.999	769.994	585.945
"ENSG00000013375.17"	20.847	22	29.914	87.483	54.464	27.093	156.078	116.181
"ENSG00000013392.8"	11	5	6	11	16	7	36	26
"ENSG00000013441.17"	10	12	26	51	23	12	127.999	70.999
"ENSG00000013503.10"	14	14	21	42	33	14	56	44
"ENSG00000013523.11"	751.136	583.016	418.821	436.632	1414.826	711.854	859.32	1031.826
"ENSG00000013561.18"	104.026	91.001	123	180	104.999	76	359.999	328
"ENSG00000013563.14"	1680.223	1342.958	1067.209	1042.967	1252.915	573.202	1197.529	1450.836
"ENSG00000013573.17"	2336.242	1848.228	1399.288	1462.154	3834.823	1870.786	3049.758	3950.207
"ENSG00000013583.10"	579	476	570.096	593	904	486	804	1075
"ENSG00000013588.9"	10161.517	9310.467	12009.062	14976.926	11917.355	6288.001	18251.103	23269.985
"ENSG00000013619.15"	253.001	194	355	305	607	271	689.999	863
"ENSG00000013725.14"	4	7	1	1	35	9	6	13
"ENSG00000013810.21"	3162.021	2576.445	1667.326	1708.086	6336.32	3270.193	3180.429	3932.001
"ENSG00000014123.10"	5	14	18	36	31.762	15	56	52
